"County","District","Region","Sub-region"
"Mityana","Mityana","Central","Buganda"
"Matheniko","Moroto","Northern","Karamoja"
"Moroto Municipal Council","Moroto","Northern","Karamoja"
"Obongi","Moyo","Northern","West Nile"
"West Moyo","Moyo","Northern","West Nile"
"Mawokota","Mpigi","Central","Buganda"
"Buwekula","Mubende","Central","Buganda"
"Kasambya","Mubende","Central","Buganda"
"Kassanda","Mubende","Central","Buganda"
"Mukono","Mukono","Central","Buganda"
"Mukono Municipal Council  ","Mukono","Central","Buganda"
"Ik","Kaabong","Northern","Karamoja"
"Nakifuma Council","Mukono","Central","Buganda"
"Chekwii (Kadam)","Moroto","Northern","Karamoja"
"Pian","Moroto","Northern","Karamoja"
"Nakaseke North","Nakaseke","Central","Buganda"
"Nakaseke South","Nakaseke","Central","Buganda"
"Budyebo","Nakasongola","Central","Buganda"
"Nakasongola","Nakasongola","Central","Buganda"
"Bukooli Island","Namayingo","Eastern","Busoga"
"Bukooli South","Namayingo","Eastern","Busoga"
"Busiki","Namutumba","Eastern","Busoga"
"Bokora","Napak","Northern","Karamoja"
"Jonam","Nebbi","Northern","West Nile"
"Padyere","Nebbi","Northern","West Nile"
"Ngora","Ngora","Eastern","Teso"
"Ntoroko","Ntoroko","Western","Bunyoro"
"Kajara","Ntungamo","Western","Ankole"
"Ntungamo Municipal Council","Ntungamo","Western","Ankole"
"Ruhaama","Ntungamo","Western","Ankole"
"Rushenyi","Ntungamo","Western","Ankole"
"Nwoya","Nwoya","Northern","Acholi"
"Otuke","Otuke","Northern","Lango"
"Oyam","Oyam","Northern","Lango"
"Aruu","Pader","Northern","Acholi"
"Agule","Pallisa","Eastern","Teso"
"Butebo","Pallisa","Eastern","Teso"
"Pallisa","Pallisa","Eastern","Teso"
"Kakuuto","Rakai","Central","Buganda"
"Kooki","Rakai","Central","Buganda"
"Kyotera","Rakai","Central","Buganda"
"Bunyaruguru","Rubirizi","Western","Ankole"
"Katerera","Rubirizi","Western","Ankole"
"Rubabo","Rubirizi","Western","Ankole"
"Rujumbura","Rukungiri","Western","Kigezi"
"Rukungiri Municipal Council","Rukungiri","Western","Kigezi"
"Lwemiyaga","Sembabule","Central","Buganda"
"Mawogola","Sembabule","Central","Buganda"
"Kasilo","Serere","Eastern","Teso"
"Serere","Serere","Eastern","Teso"
"Sheema","Sheema","Western","Ankole"
"Budadiri","Sironko","Eastern","Bugisu"
"Soroti","Soroti","Eastern","Teso"
"Soroti Municipal Council","Soroti","Eastern","Teso"
"Tororo","Tororo","Eastern","Teso"
"Tororo Municipal Council","Tororo","Eastern","Teso"
"West Budama","Tororo","Eastern","Teso"
"Busiro","Wakiso","Central","Buganda"
"Entebbe Municipal Council","Wakiso","Central","Buganda"
"Kyadondo","Wakiso","Central","Buganda"
"Aringa","Yumbe","Northern","West Nile"
"Okoro","Zombo","Northern","West Nile"
"Adjumani East","Adjumani","Northern","West Nile"
"Adjumani West","Adjumani","Northern","West Nile"
"Agago West","Agago","Northern","Acholi"
"Agago North","Agago","Northern","Acholi"
"Kioga North","Amolatar","Northern","Lango"
"Orungo","Amolatar","Northern","Lango"
"Kilak North","Amuru","Northern","Acholi"
"Kilak South","Amuru","Northern","Acholi"
"Maruzi North","Apac","Northern","Lango"
"Bushigai","Budaka","Eastern","Teso"
"Lutseshe","Budaka","Eastern","Teso"
"Bukooli Central","Bugiri","Eastern","Busoga"
"Bukooli North","Bugiri","Eastern","Busoga"
"Buhweju West","Buhweju","Western","Ankole"
"Buikwe South","Buikwe","Central","Busoga"
"Kachumbala","Bukedea","Eastern","Teso"
"Bukomansimbi North","Bukomansimbi","Central","Buganda"
"Bukomansimbi South","Bukomansimbi","Central","Buganda"
"T'oo","Bukwo","Eastern","Bugisu"
"Elgon","Bulambuli","Eastern","Bugisu"
"Elgon North","Bulambuli","Eastern","Bugisu"
"Igara East","Bushenyi","Western","Ankole"
"Igara West","Bushenyi","Western","Ankole"
"Samia Bugwe Central","Busia","Eastern","Busoga"
"Samia Bugwe North","Busia","Eastern","Busoga"
"Samia Bugwe South","Busia","Eastern","Busoga"
"Bunyole East","Busia","Eastern","Busoga"
"Bunyole West","Busia","Eastern","Busoga"
"Dokolo North","Dokolo","Northern","Lango"
"Dokolo South","Dokolo","Northern","Lango"
"Gomba East","Gomba","Central","Buganda"
"Gomba West","Gomba","Central","Buganda"
"Kigorobya","Hoima","Western","Bunyoro"
"Ibanda North","Ibanda","Western","Ankole"
"Ibanda South","Ibanda","Western","Ankole"
"Kigulu North","Iganga","Eastern","Busoga"
"Kigulu South","Iganga","Eastern","Busoga"
"Bukanga North","Isingiro","Western","Ankole"
"Isingiro North","Isingiro","Western","Ankole"
"Isingiro South","Isingiro","Western","Ankole"
"Kagoma North","Jinja","Eastern","Busoga"
"Dodoth North","Kaabong","Northern","Karamoja"
"Ndorwa East","Kabale","Western","Kigezi"
"Ndorwa West","Kabale","Western","Kigezi"
"Ochero","Kitgum","Northern","Acholi"
"Buyaga East","Kibaale","Western","Bunyoro"
"Bugangaizi South","Kibaale","Western","Bunyoro"
"Bugangaizi West","Kibaale","Western","Bunyoro"
"Bulamogi North West","Kamuli","Eastern","Busoga"
"Kalungu East","Kalungu","Central","Buganda"
"Kalungu West","Kalungu","Central","Buganda"
"Kibale East","Kamwenge","Western","Rwenzori"
"Kinkizi East","Kanungu","Western","Kigezi"
"Kinkizi West","Kanungu","Western","Kigezi"
"Napore West","Katakwi","Eastern","Teso"
"Bukonjo West","Kasese","Western","Rwenzori"
"Bukonzo East","Kasese","Western","Rwenzori"
"Busongora North","Kasese","Western","Rwenzori"
"Busongora South","Kasese","Western","Rwenzori"
"Bukuya","Kibaale","Western","Bunyoro"
"Kassanda North","Kassanda","Central","Buganda"
"Kassanda South","Kassanda","Central","Buganda"
"Ngariam","Katakwi","Eastern","Teso"
"Bbale","Kayunga","Central","Buganda"
"Ntenjeru North","Kayunga","Central","Buganda"
"Ntenjeru South","Kayunga","Central","Buganda"
"Buyanja East","Kibaale","Western","Bunyoro"
"Kiboga East","Kiboga","Central","Buganda"
"Kiboga West","Kiboga","Central","Buganda"
"Kabweri","Kibuku","Eastern","Bugisu"
"Buhaguzi East","Hoima","Western","Bunyoro"
"Kashongi","Ibanda","Western","Ankole"
"Kibanda North","Kiryandongo","Western","Bunyoro"
"Kibanda South","Kiryandongo","Western","Bunyoro"
"Bufumbira East","Kisoro","Western","Kigezi"
"Bufumbira","Kisoro","Western","Kigezi"
"Chua East","Kitgum","Northern","Acholi"
"Chua West","Kitgum","Northern","Acholi"
"Koboko North","Koboko","Northern","West Nile"
"Kole North","Kole","Northern","Lango"
"Kole South","Kole","Northern","Lango"
"Kanyum","Kotido","Northern","Karamoja"
"Kwania North","Kwania","Northern","Lango"
"Soi","Kween","Eastern","Bugisu"
"Butemba","Kyankwanzi","Central","Buganda"
"Ntwetwe","Kyankwanzi","Central","Buganda"
"Kyaka Central","Kyegegwa","Western","Bunyoro"
"Kyaka North","Kyegegwa","Western","Bunyoro"
"Kyaka South","Kyegegwa","Western","Bunyoro"
"Mwenge Central","Kyenjojo","Western","Bunyoro"
"Mwenge North","Kyenjojo","Western","Bunyoro"
"Mwenge South","Kyenjojo","Western","Bunyoro"
"Palabek","Lamwo","Northern","Acholi"
"Erute North","Lira","Northern","Lango"
"Erute South","Lira","Northern","Lango"
"Luuka North","Luuka","Eastern","Busoga"
"Luuka South","Luuka","Eastern","Busoga"
"Katikamu North","Luwero","Central","Buganda"
"Katikamu South","Luwero","Central","Buganda"
"Bukoto Mid-West","Lwengo","Central","Buganda"
"Bukoto North","Lwengo","Central","Buganda"
"Bukoto South","Lwengo","Central","Buganda"
"Lower Madi","Madi-Okollo","Northern","West Nile"
"Upper Madi","Madi-Okollo","Northern","West Nile"
"Bubulo West","Manafwa","Eastern","Bugisu"
"Butiru","Manafwa","Eastern","Bugisu"
"Maracha East","Maracha","Northern","West Nile"
"Bukoto Central","Masaka","Central","Buganda"
"Bukoto East","Masaka","Central","Buganda"
"Buruli","Masindi","Western","Bunyoro"
"Bunya East","Mayuge","Eastern","Busoga"
"Bunya South","Mayuge","Eastern","Busoga"
"Bunya West","Mayuge","Eastern","Busoga"
"Bungokho North","Mbale","Eastern","Bugisu"
"Bungokho South","Mbale","Eastern","Bugisu"
"Bungokho Central","Mbale","Eastern","Bugisu"
"Kashari North","Mbarara","Western","Ankole"
"Kashari South","Mbarara","Western","Ankole"
"Ruhinda North","Mbarara","Western","Ankole"
"Ruhinda South","Mbarara","Western","Ankole"
"Mityana North","Mityana","Central","Buganda"
"Mityana South","Mityana","Central","Buganda"
"Tepeth","Moroto","Northern","Karamoja"
"Mawokota North","Mpigi","Central","Buganda"
"Mawokota South","Mpigi","Central","Buganda"
"Buwekula South","Mubende","Central","Buganda"
"Mukono North","Mukono","Central","Buganda"
"Mukono South","Mukono","Central","Buganda"
"Nakifuma","Mukono","Central","Buganda"
"Chekwii (Kadam)","Moroto","Northern","Karamoja"
"Chekwii East","Moroto","Northern","Karamoja"
"Nakaseke Central","Nakaseke","Central","Buganda"
"Namayingo South","Namayingo","Eastern","Busoga"
"Bubulo East","Namisindwa","Eastern","Bugisu"
"Namisindwa","Namisindwa","Eastern","Bugisu"
"Bukono","Namutumba","Eastern","Busoga"
"Bokora East","Napak","Northern","Karamoja"
"Busiki North","Namutumba","Eastern","Busoga"
"Kapir","Ngora","Eastern","Teso"
"Ruhaama East","Ntungamo","Western","Ankole"
"Nwoya East","Nwoya","Northern","Acholi"
"Tochi","Otuke","Northern","Lango"
"Oyam North","Oyam","Northern","Lango"
"Oyam South","Oyam","Northern","Lango"
"Aruu North","Pader","Northern","Acholi"
"Gogonyo","Pallisa","Eastern","Teso"
"Rubanda East","Rubanda","Western","Kigezi"
"Rubanda West","Rubanda","Western","Kigezi"
"Rwampara East","Mbarara","Western","Ankole"
"Pingire","Serere","Eastern","Teso"
"Sheema North","Sheema","Western","Ankole"
"Sheema South","Sheema","Western","Ankole"
"Budadiri East","Sironko","Eastern","Bugisu"
"Budadiri West","Sironko","Eastern","Bugisu"
"Dakabela","Soroti","Eastern","Teso"
"Gweri","Soroti","Eastern","Teso"
"Mawogola South","Sembabule","Central","Buganda"
"Mawogola West","Sembabule","Central","Buganda"
"Mawogola North","Sembabule","Central","Buganda"
"Terego East","Terego","Northern","West Nile"
"Terego West","Terego","Northern","West Nile"
"Tororo North","Tororo","Eastern","Teso"
"Tororo South","Tororo","Eastern","Teso"
"West Budama Central","Tororo","Eastern","Teso"
"West Budama North","Tororo","Eastern","Teso"
"West Budama South","Tororo","Eastern","Teso"
"West Budama North East","Tororo","Eastern","Teso"
"Busiro East","Wakiso","Central","Buganda"
"Busiro North","Wakiso","Central","Buganda"
"Busiro South","Wakiso","Central","Buganda"
"Kyadondo East","Wakiso","Central","Buganda"
"Aringa East","Yumbe","Northern","West Nile"
"Aringa North","Yumbe","Northern","West Nile"
"Aringa South","Yumbe","Northern","West Nile"
"Ora","Yumbe","Northern","West Nile"


